,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
204,1,172.21.134.247,=>,0b,0b,0b,0B,15-21-19.236472287,0,1900-01-01 15:21:19.236472287
205,,172.21.128.1,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-21-19.236472287,1270,1900-01-01 15:21:19.236472287
206,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-26-25.616789818,272,1900-01-01 15:26:25.616789818
207,,L02197.DIRECTORY.INTRA,<=,7.27Kb,7.27Kb,7.27Kb,1.82KB,15-26-25.616789818,1820,1900-01-01 15:26:25.616789818
208,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-26-25.616789818,0,1900-01-01 15:26:25.616789818
209,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-26-25.616789818,79,1900-01-01 15:26:25.616789818
210,1,172.21.134.247,=>,0b,0b,0b,0B,15-19-04.487272873,0,1900-01-01 15:19:04.487272873
211,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-19-04.487272873,432,1900-01-01 15:19:04.487272873
212,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-19-04.487272873,0,1900-01-01 15:19:04.487272873
213,,L02197.DIRECTORY.INTRA,<=,292b,292b,292b,73B,15-19-04.487272873,73,1900-01-01 15:19:04.487272873
214,1,172.21.134.247,=>,544b,544b,544b,136B,15-23-05.790197452,136,1900-01-01 15:23:05.790197452
215,,L02197.DIRECTORY.INTRA,<=,7.11Kb,7.11Kb,7.11Kb,1.78KB,15-23-05.790197452,1780,1900-01-01 15:23:05.790197452
216,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-23-05.790197452,0,1900-01-01 15:23:05.790197452
217,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-23-05.790197452,79,1900-01-01 15:23:05.790197452
218,1,172.21.134.247,=>,544b,544b,544b,136B,15-22-39.977963608,136,1900-01-01 15:22:39.977963608
219,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-22-39.977963608,864,1900-01-01 15:22:39.977963608
220,2,224.0.0.251,=>,0b,0b,0b,0B,15-22-39.977963608,0,1900-01-01 15:22:39.977963608
221,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-22-39.977963608,79,1900-01-01 15:22:39.977963608
222,3,255.255.255.255,=>,0b,0b,0b,0B,15-22-39.977963608,0,1900-01-01 15:22:39.977963608
223,,L02197.DIRECTORY.INTRA,<=,272b,272b,272b,68B,15-22-39.977963608,68,1900-01-01 15:22:39.977963608
224,1,172.21.134.247,=>,544b,544b,544b,136B,15-20-14.578816640,136,1900-01-01 15:20:14.578816640
225,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-20-14.578816640,1270,1900-01-01 15:20:14.578816640
226,1,172.21.134.247,=>,544b,544b,544b,136B,15-23-23.886130179,136,1900-01-01 15:23:23.886130179
227,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-23-23.886130179,432,1900-01-01 15:23:23.886130179
228,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-23-23.886130179,0,1900-01-01 15:23:23.886130179
229,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-23-23.886130179,79,1900-01-01 15:23:23.886130179
230,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-26-28.777690420,272,1900-01-01 15:26:28.777690420
231,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-26-28.777690420,1270,1900-01-01 15:26:28.777690420
232,1,172.21.134.247,=>,544b,544b,544b,136B,15-22-55.017196870,136,1900-01-01 15:22:55.017196870
233,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-22-55.017196870,432,1900-01-01 15:22:55.017196870
234,1,172.21.134.247,=>,600b,600b,600b,150B,15-20-40.244536272,150,1900-01-01 15:20:40.244536272
