,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
368,3,224.0.0.251,=>,0b,0b,0b,0B,15-24-37.084860561,0,1900-01-01 15:24:37.084860561
369,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-24-37.084860561,79,1900-01-01 15:24:37.084860561
370,1,239.255.255.250,=>,0b,0b,0b,0B,15-23-01.321394376,0,1900-01-01 15:23:01.321394376
371,,172.21.128.1,<=,812b,812b,812b,203B,15-23-01.321394376,203,1900-01-01 15:23:01.321394376
372,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-21-40.558501183,272,1900-01-01 15:21:40.558501183
373,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-21-40.558501183,1270,1900-01-01 15:21:40.558501183
374,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-21-37.367777289,272,1900-01-01 15:21:37.367777289
375,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-21-37.367777289,1270,1900-01-01 15:21:37.367777289
376,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-21-37.367777289,0,1900-01-01 15:21:37.367777289
377,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-21-37.367777289,79,1900-01-01 15:21:37.367777289
