,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,172.30.74.51,=>,58.4Kb,58.4Kb,58.4Kb,14.6KB,2023-11-24-15-10-09,14600,2023-11-24 15:10:09
1,,s3-w.eu-central-1.amazonaws.com,<=,461Kb,461Kb,461Kb,115KB,2023-11-24-15-10-09,115000,2023-11-24 15:10:09
2,2,172.30.74.51,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
3,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-10-09,142,2023-11-24 15:10:09
4,3,255.255.255.255,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
5,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-10-09,68,2023-11-24 15:10:09
6,4,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
7,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-10-09,68,2023-11-24 15:10:09
8,1,172.30.74.51,=>,121Kb,121Kb,121Kb,30.3KB,2023-11-24-15-08-49,30300,2023-11-24 15:08:49
9,,s3-r-w.eu-central-1.amazonaws.com,<=,28.2Mb,28.2Mb,28.2Mb,7.05MB,2023-11-24-15-08-49,7050000,2023-11-24 15:08:49
10,2,172.30.74.51,=>,1.61Kb,1.61Kb,1.61Kb,413B,2023-11-24-15-08-49,413,2023-11-24 15:08:49
11,,l03236.mshome.net,<=,3.36Kb,3.36Kb,3.36Kb,859B,2023-11-24-15-08-49,859,2023-11-24 15:08:49
12,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-08-49,0,2023-11-24 15:08:49
13,,l03236.mshome.net,<=,916b,916b,916b,229B,2023-11-24-15-08-49,229,2023-11-24 15:08:49
14,1,172.30.74.51,=>,67.2Kb,67.2Kb,67.2Kb,16.8KB,2023-11-24-14-59-27,16800,2023-11-24 14:59:27
15,,3.5.137.114,<=,10.7Mb,10.7Mb,10.7Mb,2.67MB,2023-11-24-14-59-27,2670000,2023-11-24 14:59:27
16,2,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-14-59-27,0,2023-11-24 14:59:27
17,,172.30.64.1,<=,288b,288b,288b,72B,2023-11-24-14-59-27,72,2023-11-24 14:59:27
18,1,172.30.74.51,=>,68.7Kb,68.7Kb,68.7Kb,17.2KB,2023-11-24-14-57-07,17200,2023-11-24 14:57:07
19,,s3-r-w.eu-central-1.amazonaws.com,<=,11.1Mb,11.1Mb,11.1Mb,2.77MB,2023-11-24-14-57-07,2770000,2023-11-24 14:57:07
20,2,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-14-57-07,0,2023-11-24 14:57:07
21,,172.30.64.1,<=,288b,288b,288b,72B,2023-11-24-14-57-07,72,2023-11-24 14:57:07
22,1,172.30.74.51,=>,124Kb,124Kb,124Kb,30.9KB,2023-11-24-15-04-13,30900,2023-11-24 15:04:13
23,,s3-r-w.eu-central-1.amazonaws.com,<=,24.8Mb,24.8Mb,24.8Mb,6.21MB,2023-11-24-15-04-13,6210000,2023-11-24 15:04:13
24,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-15-04-13,410,2023-11-24 15:04:13
25,,l03236.mshome.net,<=,2.22Kb,2.22Kb,2.22Kb,569B,2023-11-24-15-04-13,569,2023-11-24 15:04:13
26,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-04-13,0,2023-11-24 15:04:13
27,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-04-13,154,2023-11-24 15:04:13
28,1,172.30.74.51,=>,123Kb,123Kb,123Kb,30.7KB,2023-11-24-15-06-08,30700,2023-11-24 15:06:08
29,,52.219.46.16,<=,21.0Mb,21.0Mb,21.0Mb,5.26MB,2023-11-24-15-06-08,5260000,2023-11-24 15:06:08
30,2,172.30.74.51,=>,976b,976b,976b,244B,2023-11-24-15-06-08,244,2023-11-24 15:06:08
31,,172.30.64.1,<=,1.69Kb,1.69Kb,1.69Kb,432B,2023-11-24-15-06-08,432,2023-11-24 15:06:08
32,3,224.0.0.251,=>,0b,0b,0b,0B,2023-11-24-15-06-08,0,2023-11-24 15:06:08
33,,172.30.64.1,<=,1.23Kb,1.23Kb,1.23Kb,316B,2023-11-24-15-06-08,316,2023-11-24 15:06:08
34,1,172.30.74.51,=>,111Kb,111Kb,111Kb,27.9KB,2023-11-24-15-02-33,27900,2023-11-24 15:02:33
35,,s3-r-w.eu-central-1.amazonaws.com,<=,26.8Mb,26.8Mb,26.8Mb,6.69MB,2023-11-24-15-02-33,6690000,2023-11-24 15:02:33
36,2,172.30.74.51,=>,964b,964b,964b,241B,2023-11-24-15-02-33,241,2023-11-24 15:02:33
37,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-02-33,142,2023-11-24 15:02:33
38,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-02-33,0,2023-11-24 15:02:33
39,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-02-33,154,2023-11-24 15:02:33
40,1,172.30.74.51,=>,123Kb,123Kb,123Kb,30.8KB,2023-11-24-14-55-30,30800,2023-11-24 14:55:30
41,,s3-r-w.eu-central-1.amazonaws.com,<=,22.1Mb,22.1Mb,22.1Mb,5.53MB,2023-11-24-14-55-30,5530000,2023-11-24 14:55:30
42,2,172.30.74.51,=>,1.32Kb,1.32Kb,1.32Kb,339B,2023-11-24-14-55-30,339,2023-11-24 14:55:30
43,,l03236.mshome.net,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-11-24-14-55-30,284,2023-11-24 14:55:30
44,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-55-30,0,2023-11-24 14:55:30
45,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-14-55-30,154,2023-11-24 14:55:30
46,1,172.30.74.51,=>,144Kb,144Kb,144Kb,36.0KB,2023-11-24-14-56-28,36000,2023-11-24 14:56:28
47,,s3-r-w.eu-central-1.amazonaws.com,<=,24.4Mb,24.4Mb,24.4Mb,6.11MB,2023-11-24-14-56-28,6110000,2023-11-24 14:56:28
48,2,172.30.74.51,=>,1.22Kb,1.22Kb,1.22Kb,313B,2023-11-24-14-56-28,313,2023-11-24 14:56:28
49,,l03236.mshome.net,<=,2.24Kb,2.24Kb,2.24Kb,573B,2023-11-24-14-56-28,573,2023-11-24 14:56:28
50,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-56-28,0,2023-11-24 14:56:28
51,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-14-56-28,154,2023-11-24 14:56:28
52,1,172.30.74.51,=>,109Kb,109Kb,109Kb,27.2KB,2023-11-24-15-03-03,27200,2023-11-24 15:03:03
53,,s3-r-w.eu-central-1.amazonaws.com,<=,27.7Mb,27.7Mb,27.7Mb,6.93MB,2023-11-24-15-03-03,6930000,2023-11-24 15:03:03
54,2,172.30.74.51,=>,964b,964b,964b,241B,2023-11-24-15-03-03,241,2023-11-24 15:03:03
55,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-03-03,142,2023-11-24 15:03:03
56,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-03-03,0,2023-11-24 15:03:03
57,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-03-03,154,2023-11-24 15:03:03
58,1,172.30.74.51,=>,76.0Kb,76.0Kb,76.0Kb,19.0KB,2023-11-24-14-56-15,19000,2023-11-24 14:56:15
59,,s3-r-w.eu-central-1.amazonaws.com,<=,13.2Mb,13.2Mb,13.2Mb,3.29MB,2023-11-24-14-56-15,3290000,2023-11-24 14:56:15
60,2,172.30.74.51,=>,792b,792b,792b,198B,2023-11-24-14-56-15,198,2023-11-24 14:56:15
61,,172.30.64.1,<=,1.66Kb,1.66Kb,1.66Kb,426B,2023-11-24-14-56-15,426,2023-11-24 14:56:15
62,3,172.30.74.51,=>,160b,160b,160b,40B,2023-11-24-14-56-15,40,2023-11-24 14:56:15
63,,52.219.140.58,<=,160b,160b,160b,40B,2023-11-24-14-56-15,40,2023-11-24 14:56:15
64,1,172.30.74.51,=>,66.6Kb,66.6Kb,66.6Kb,16.6KB,2023-11-24-15-09-12,16600,2023-11-24 15:09:12
65,,52.219.170.78,<=,15.3Mb,15.3Mb,15.3Mb,3.83MB,2023-11-24-15-09-12,3830000,2023-11-24 15:09:12
66,2,172.30.74.51,=>,396b,396b,396b,99B,2023-11-24-15-09-12,99,2023-11-24 15:09:12
67,,172.30.64.1,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-11-24-15-09-12,284,2023-11-24 15:09:12
68,1,172.30.74.51,=>,121Kb,121Kb,121Kb,30.1KB,2023-11-24-15-07-41,30100,2023-11-24 15:07:41
69,,s3-r-w.eu-central-1.amazonaws.com,<=,21.8Mb,21.8Mb,21.8Mb,5.46MB,2023-11-24-15-07-41,5460000,2023-11-24 15:07:41
70,2,172.30.74.51,=>,964b,964b,964b,241B,2023-11-24-15-07-41,241,2023-11-24 15:07:41
71,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-07-41,142,2023-11-24 15:07:41
72,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-07-41,0,2023-11-24 15:07:41
73,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-07-41,154,2023-11-24 15:07:41
74,1,172.30.74.51,=>,396b,396b,396b,99B,2023-11-24-14-55-55,99,2023-11-24 14:55:55
75,,l03236.mshome.net,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-11-24-14-55-55,284,2023-11-24 14:55:55
76,1,172.30.74.51,=>,164Kb,164Kb,164Kb,41.0KB,2023-11-24-14-58-52,41000,2023-11-24 14:58:52
77,,s3-r-w.eu-central-1.amazonaws.com,<=,22.2Mb,22.2Mb,22.2Mb,5.55MB,2023-11-24-14-58-52,5550000,2023-11-24 14:58:52
78,2,172.30.74.51,=>,1.61Kb,1.61Kb,1.61Kb,412B,2023-11-24-14-58-52,412,2023-11-24 14:58:52
79,,l03236.mshome.net,<=,2.79Kb,2.79Kb,2.79Kb,715B,2023-11-24-14-58-52,715,2023-11-24 14:58:52
80,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-58-52,0,2023-11-24 14:58:52
81,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-14-58-52,154,2023-11-24 14:58:52
82,1,172.30.74.51,=>,99.7Kb,99.7Kb,99.7Kb,24.9KB,2023-11-24-15-05-33,24900,2023-11-24 15:05:33
83,,s3-r-w.eu-central-1.amazonaws.com,<=,23.5Mb,23.5Mb,23.5Mb,5.87MB,2023-11-24-15-05-33,5870000,2023-11-24 15:05:33
84,2,172.30.74.51,=>,1.33Kb,1.33Kb,1.33Kb,341B,2023-11-24-15-05-33,341,2023-11-24 15:05:33
85,,172.30.64.1,<=,2.23Kb,2.23Kb,2.23Kb,572B,2023-11-24-15-05-33,572,2023-11-24 15:05:33
86,3,224.0.0.251,=>,0b,0b,0b,0B,2023-11-24-15-05-33,0,2023-11-24 15:05:33
87,,172.30.64.1,<=,1.52Kb,1.52Kb,1.52Kb,389B,2023-11-24-15-05-33,389,2023-11-24 15:05:33
88,1,172.30.74.51,=>,63.6Kb,63.6Kb,63.6Kb,15.9KB,2023-11-24-15-08-03,15900,2023-11-24 15:08:03
89,,s3-r-w.eu-central-1.amazonaws.com,<=,9.87Mb,9.87Mb,9.87Mb,2.47MB,2023-11-24-15-08-03,2470000,2023-11-24 15:08:03
90,2,172.30.74.51,=>,400b,400b,400b,100B,2023-11-24-15-08-03,100,2023-11-24 15:08:03
91,,172.30.64.1,<=,576b,576b,576b,144B,2023-11-24-15-08-03,144,2023-11-24 15:08:03
92,1,172.30.74.51,=>,69.7Kb,69.7Kb,69.7Kb,17.4KB,2023-11-24-14-58-36,17400,2023-11-24 14:58:36
93,,3.5.137.114,<=,12.8Mb,12.8Mb,12.8Mb,3.19MB,2023-11-24-14-58-36,3190000,2023-11-24 14:58:36
94,2,239.255.255.250,=>,0b,0b,0b,0B,2023-11-24-14-58-36,0,2023-11-24 14:58:36
95,,172.30.64.1,<=,792b,792b,792b,198B,2023-11-24-14-58-36,198,2023-11-24 14:58:36
96,1,172.30.74.51,=>,153Kb,153Kb,153Kb,38.2KB,2023-11-24-15-01-43,38200,2023-11-24 15:01:43
97,,s3-r-w.eu-central-1.amazonaws.com,<=,25.1Mb,25.1Mb,25.1Mb,6.28MB,2023-11-24-15-01-43,6280000,2023-11-24 15:01:43
98,2,172.30.74.51,=>,1.35Kb,1.35Kb,1.35Kb,345B,2023-11-24-15-01-43,345,2023-11-24 15:01:43
99,,l03236.mshome.net,<=,592b,592b,592b,148B,2023-11-24-15-01-43,148,2023-11-24 15:01:43
100,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-01-43,0,2023-11-24 15:01:43
101,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-01-43,77,2023-11-24 15:01:43
102,1,172.30.74.51,=>,27.3Kb,27.3Kb,27.3Kb,6.84KB,2023-11-24-15-07-19,6840,2023-11-24 15:07:19
103,,s3-r-w.eu-central-1.amazonaws.com,<=,8.68Mb,8.68Mb,8.68Mb,2.17MB,2023-11-24-15-07-19,2170000,2023-11-24 15:07:19
104,2,172.30.74.51,=>,396b,396b,396b,99B,2023-11-24-15-07-19,99,2023-11-24 15:07:19
105,,l03236.mshome.net,<=,1.59Kb,1.59Kb,1.59Kb,408B,2023-11-24-15-07-19,408,2023-11-24 15:07:19
106,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-07-19,0,2023-11-24 15:07:19
107,,l03236.mshome.net,<=,624b,624b,624b,156B,2023-11-24-15-07-19,156,2023-11-24 15:07:19
108,1,172.30.74.51,=>,51.2Kb,51.2Kb,51.2Kb,12.8KB,2023-11-24-15-03-10,12800,2023-11-24 15:03:10
109,,52.219.46.16,<=,13.2Mb,13.2Mb,13.2Mb,3.31MB,2023-11-24-15-03-10,3310000,2023-11-24 15:03:10
110,2,172.30.74.51,=>,792b,792b,792b,198B,2023-11-24-15-03-10,198,2023-11-24 15:03:10
111,,172.30.64.1,<=,1.66Kb,1.66Kb,1.66Kb,426B,2023-11-24-15-03-10,426,2023-11-24 15:03:10
112,1,172.30.74.51,=>,153Kb,153Kb,153Kb,38.3KB,2023-11-24-15-01-05,38300,2023-11-24 15:01:05
113,,s3-r-w.eu-central-1.amazonaws.com,<=,20.6Mb,20.6Mb,20.6Mb,5.15MB,2023-11-24-15-01-05,5150000,2023-11-24 15:01:05
114,2,172.30.74.51,=>,1.21Kb,1.21Kb,1.21Kb,310B,2023-11-24-15-01-05,310,2023-11-24 15:01:05
115,,l03236.mshome.net,<=,1.67Kb,1.67Kb,1.67Kb,427B,2023-11-24-15-01-05,427,2023-11-24 15:01:05
116,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-01-05,0,2023-11-24 15:01:05
117,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-01-05,77,2023-11-24 15:01:05
118,1,172.30.74.51,=>,53.9Kb,53.9Kb,53.9Kb,13.5KB,2023-11-24-15-04-47,13500,2023-11-24 15:04:47
119,,52.219.46.16,<=,14.0Mb,14.0Mb,14.0Mb,3.50MB,2023-11-24-15-04-47,3500000,2023-11-24 15:04:47
120,2,172.30.74.51,=>,0b,0b,0b,0B,2023-11-24-15-04-47,0,2023-11-24 15:04:47
121,,172.30.64.1,<=,1.16Kb,1.16Kb,1.16Kb,296B,2023-11-24-15-04-47,296,2023-11-24 15:04:47
122,1,172.30.74.51,=>,102Kb,102Kb,102Kb,25.5KB,2023-11-24-15-07-16,25500,2023-11-24 15:07:16
123,,s3-r-w.eu-central-1.amazonaws.com,<=,21.4Mb,21.4Mb,21.4Mb,5.34MB,2023-11-24-15-07-16,5340000,2023-11-24 15:07:16
124,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-15-07-16,410,2023-11-24 15:07:16
125,,l03236.mshome.net,<=,1.67Kb,1.67Kb,1.67Kb,427B,2023-11-24-15-07-16,427,2023-11-24 15:07:16
126,3,224.0.0.251,=>,0b,0b,0b,0B,2023-11-24-15-07-16,0,2023-11-24 15:07:16
127,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-07-16,154,2023-11-24 15:07:16
128,4,255.255.255.255,=>,0b,0b,0b,0B,2023-11-24-15-07-16,0,2023-11-24 15:07:16
129,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-07-16,68,2023-11-24 15:07:16
130,5,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-15-07-16,0,2023-11-24 15:07:16
131,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-07-16,68,2023-11-24 15:07:16
132,1,172.30.74.51,=>,133Kb,133Kb,133Kb,33.2KB,2023-11-24-15-00-21,33200,2023-11-24 15:00:21
133,,s3-r-w.eu-central-1.amazonaws.com,<=,27.7Mb,27.7Mb,27.7Mb,6.93MB,2023-11-24-15-00-21,6930000,2023-11-24 15:00:21
134,2,172.30.74.51,=>,1.71Kb,1.71Kb,1.71Kb,438B,2023-11-24-15-00-21,438,2023-11-24 15:00:21
135,,l03236.mshome.net,<=,1.66Kb,1.66Kb,1.66Kb,426B,2023-11-24-15-00-21,426,2023-11-24 15:00:21
136,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-00-21,0,2023-11-24 15:00:21
137,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-00-21,77,2023-11-24 15:00:21
138,4,255.255.255.255,=>,0b,0b,0b,0B,2023-11-24-15-00-21,0,2023-11-24 15:00:21
139,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-00-21,68,2023-11-24 15:00:21
140,5,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-15-00-21,0,2023-11-24 15:00:21
141,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-00-21,68,2023-11-24 15:00:21
142,1,172.30.74.51,=>,132Kb,132Kb,132Kb,33.1KB,2023-11-24-14-59-53,33100,2023-11-24 14:59:53
143,,s3-r-w.eu-central-1.amazonaws.com,<=,26.5Mb,26.5Mb,26.5Mb,6.62MB,2023-11-24-14-59-53,6620000,2023-11-24 14:59:53
144,2,172.30.74.51,=>,1.32Kb,1.32Kb,1.32Kb,339B,2023-11-24-14-59-53,339,2023-11-24 14:59:53
145,,l03236.mshome.net,<=,2.24Kb,2.24Kb,2.24Kb,574B,2023-11-24-14-59-53,574,2023-11-24 14:59:53
146,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-59-53,0,2023-11-24 14:59:53
147,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-14-59-53,154,2023-11-24 14:59:53
148,1,172.30.74.51,=>,137Kb,137Kb,137Kb,34.2KB,2023-11-24-14-56-42,34200,2023-11-24 14:56:42
149,,s3-r-w.eu-central-1.amazonaws.com,<=,25.4Mb,25.4Mb,25.4Mb,6.36MB,2023-11-24-14-56-42,6360000,2023-11-24 14:56:42
150,2,172.30.74.51,=>,960b,960b,960b,240B,2023-11-24-14-56-42,240,2023-11-24 14:56:42
151,,l03236.mshome.net,<=,1.69Kb,1.69Kb,1.69Kb,432B,2023-11-24-14-56-42,432,2023-11-24 14:56:42
152,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-56-42,0,2023-11-24 14:56:42
153,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-14-56-42,154,2023-11-24 14:56:42
154,1,172.30.74.51,=>,49.7Kb,49.7Kb,49.7Kb,12.4KB,2023-11-24-15-06-13,12400,2023-11-24 15:06:13
155,,s3-r-w.eu-central-1.amazonaws.com,<=,10.9Mb,10.9Mb,10.9Mb,2.73MB,2023-11-24-15-06-13,2730000,2023-11-24 15:06:13
156,2,172.30.74.51,=>,396b,396b,396b,99B,2023-11-24-15-06-13,99,2023-11-24 15:06:13
157,,172.30.64.1,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-11-24-15-06-13,284,2023-11-24 15:06:13
158,1,172.30.74.51,=>,123Kb,123Kb,123Kb,30.6KB,2023-11-24-14-57-47,30600,2023-11-24 14:57:47
159,,s3-r-w.eu-central-1.amazonaws.com,<=,25.3Mb,25.3Mb,25.3Mb,6.32MB,2023-11-24-14-57-47,6320000,2023-11-24 14:57:47
160,2,172.30.74.51,=>,1.32Kb,1.32Kb,1.32Kb,339B,2023-11-24-14-57-47,339,2023-11-24 14:57:47
161,,l03236.mshome.net,<=,1.66Kb,1.66Kb,1.66Kb,426B,2023-11-24-14-57-47,426,2023-11-24 14:57:47
162,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-57-47,0,2023-11-24 14:57:47
163,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-14-57-47,77,2023-11-24 14:57:47
164,1,172.30.74.51,=>,125Kb,125Kb,125Kb,31.2KB,2023-11-24-15-10-04,31200,2023-11-24 15:10:04
165,,s3-r-w.eu-central-1.amazonaws.com,<=,19.8Mb,19.8Mb,19.8Mb,4.96MB,2023-11-24-15-10-04,4960000,2023-11-24 15:10:04
166,2,172.30.74.51,=>,1.72Kb,1.72Kb,1.72Kb,440B,2023-11-24-15-10-04,440,2023-11-24 15:10:04
167,,l03236.mshome.net,<=,1.66Kb,1.66Kb,1.66Kb,426B,2023-11-24-15-10-04,426,2023-11-24 15:10:04
168,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-10-04,0,2023-11-24 15:10:04
169,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-10-04,154,2023-11-24 15:10:04
170,1,172.30.74.51,=>,159Kb,159Kb,159Kb,39.8KB,2023-11-24-15-00-14,39800,2023-11-24 15:00:14
171,,s3-r-w.eu-central-1.amazonaws.com,<=,24.1Mb,24.1Mb,24.1Mb,6.03MB,2023-11-24-15-00-14,6030000,2023-11-24 15:00:14
172,2,172.30.74.51,=>,960b,960b,960b,240B,2023-11-24-15-00-14,240,2023-11-24 15:00:14
173,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-00-14,142,2023-11-24 15:00:14
174,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-00-14,0,2023-11-24 15:00:14
175,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-00-14,77,2023-11-24 15:00:14
176,1,172.30.74.51,=>,97.0Kb,97.0Kb,97.0Kb,24.2KB,2023-11-24-15-03-31,24200,2023-11-24 15:03:31
177,,s3-r-w.eu-central-1.amazonaws.com,<=,24.9Mb,24.9Mb,24.9Mb,6.23MB,2023-11-24-15-03-31,6230000,2023-11-24 15:03:31
178,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-15-03-31,410,2023-11-24 15:03:31
179,,l03236.mshome.net,<=,2.79Kb,2.79Kb,2.79Kb,713B,2023-11-24-15-03-31,713,2023-11-24 15:03:31
180,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-03-31,0,2023-11-24 15:03:31
181,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-03-31,77,2023-11-24 15:03:31
182,1,172.30.74.51,=>,142Kb,142Kb,142Kb,35.5KB,2023-11-24-14-58-13,35500,2023-11-24 14:58:13
183,,s3-r-w.eu-central-1.amazonaws.com,<=,30.2Mb,30.2Mb,30.2Mb,7.56MB,2023-11-24-14-58-13,7560000,2023-11-24 14:58:13
184,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-14-58-13,410,2023-11-24 14:58:13
185,,l03236.mshome.net,<=,2.22Kb,2.22Kb,2.22Kb,569B,2023-11-24-14-58-13,569,2023-11-24 14:58:13
186,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-14-58-13,0,2023-11-24 14:58:13
187,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-14-58-13,77,2023-11-24 14:58:13
188,1,172.30.74.51,=>,41.6Kb,41.6Kb,41.6Kb,10.4KB,2023-11-24-15-11-05,10400,2023-11-24 15:11:05
189,,s3-w.eu-central-1.amazonaws.com,<=,2.86Mb,2.86Mb,2.86Mb,731KB,2023-11-24-15-11-05,731000,2023-11-24 15:11:05
190,2,172.30.74.51,=>,15.1Kb,15.1Kb,15.1Kb,3.77KB,2023-11-24-15-11-05,3770,2023-11-24 15:11:05
191,,s3-w.eu-central-1.amazonaws.com,<=,473Kb,473Kb,473Kb,118KB,2023-11-24-15-11-05,118000,2023-11-24 15:11:05
192,3,172.30.74.51,=>,160b,160b,160b,40B,2023-11-24-15-11-05,40,2023-11-24 15:11:05
193,,52.219.169.135,<=,284b,284b,284b,71B,2023-11-24-15-11-05,71,2023-11-24 15:11:05
194,4,172.30.74.51,=>,160b,160b,160b,40B,2023-11-24-15-11-05,40,2023-11-24 15:11:05
195,,s3-w.eu-central-1.amazonaws.com,<=,284b,284b,284b,71B,2023-11-24-15-11-05,71,2023-11-24 15:11:05
196,5,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-15-11-05,0,2023-11-24 15:11:05
197,,172.30.64.1,<=,288b,288b,288b,72B,2023-11-24-15-11-05,72,2023-11-24 15:11:05
198,1,172.30.74.51,=>,145Kb,145Kb,145Kb,36.2KB,2023-11-24-15-00-08,36200,2023-11-24 15:00:08
199,,s3-r-w.eu-central-1.amazonaws.com,<=,23.8Mb,23.8Mb,23.8Mb,5.95MB,2023-11-24-15-00-08,5950000,2023-11-24 15:00:08
200,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-15-00-08,410,2023-11-24 15:00:08
201,,l03236.mshome.net,<=,2.22Kb,2.22Kb,2.22Kb,569B,2023-11-24-15-00-08,569,2023-11-24 15:00:08
202,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-00-08,0,2023-11-24 15:00:08
203,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-15-00-08,77,2023-11-24 15:00:08
204,1,172.30.74.51,=>,61.7Kb,61.7Kb,61.7Kb,15.4KB,2023-11-24-15-11-40,15400,2023-11-24 15:11:40
205,,3.5.137.142,<=,7.46Mb,7.46Mb,7.46Mb,1.86MB,2023-11-24-15-11-40,1860000,2023-11-24 15:11:40
206,2,172.30.74.51,=>,17.2Kb,17.2Kb,17.2Kb,4.30KB,2023-11-24-15-11-40,4300,2023-11-24 15:11:40
207,,s3-r-w.eu-central-1.amazonaws.com,<=,2.42Mb,2.42Mb,2.42Mb,621KB,2023-11-24-15-11-40,621000,2023-11-24 15:11:40
208,3,172.30.74.51,=>,748b,748b,748b,187B,2023-11-24-15-11-40,187,2023-11-24 15:11:40
209,,3.5.135.15,<=,748b,748b,748b,187B,2023-11-24-15-11-40,187,2023-11-24 15:11:40
210,4,172.30.74.51,=>,396b,396b,396b,99B,2023-11-24-15-11-40,99,2023-11-24 15:11:40
211,,172.30.64.1,<=,568b,568b,568b,142B,2023-11-24-15-11-40,142,2023-11-24 15:11:40
212,1,172.30.74.51,=>,110Kb,110Kb,110Kb,27.5KB,2023-11-24-15-00-44,27500,2023-11-24 15:00:44
213,,s3-r-w.eu-central-1.amazonaws.com,<=,24.9Mb,24.9Mb,24.9Mb,6.22MB,2023-11-24-15-00-44,6220000,2023-11-24 15:00:44
214,2,172.30.74.51,=>,1.32Kb,1.32Kb,1.32Kb,339B,2023-11-24-15-00-44,339,2023-11-24 15:00:44
